"Molecule ChEMBL ID	SMILES#RO5 Violations	label	pIC50	Molwt	LogP	HBA	HBD"
"CHEMBL3657155	Cc1c(-c2ccc(F)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12	1	1	7.397940008672037	458.5770000000003	6.374420000000007	4	1"
"CHEMBL3657145	CCCN(CCC)CCOc1ccc(Cn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)cc1	1	1	7.096910013008057	472.62900000000013	6.577020000000009	5	2"
"CHEMBL3657180	Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3[C@@H](C)CCC[C@H]3C)cc2)c2ccc(O)cc12	1	1	7.154901959985742	484.6400000000002	6.7179200000000066	5	2"
"CHEMBL3657181	Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CC4CCC3C4)cc2)c2ccc(O)cc12	1	1	9.0	468.5970000000002	5.939320000000006	5	2"
"CHEMBL3657172	N#Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12	1	1	7.638272163982407	481.59600000000034	5.8942800000000055	6	2"
"CHEMBL470993	Oc1ccc(C2=C(c3ccc(OCCN4CCC4)cc3)c3ccccc3OCC2)cc1	1	1	8.721246399047171	413.5170000000001	5.218300000000005	4	1"
"CHEMBL469510	COc1ccc2c(c1)OCCC(c1ccc(O)cc1)=C2c1ccc(OCCN2CCCC2)cc1	1	1	7.987162775294827	457.57000000000033	5.617000000000006	5	1"
"CHEMBL511492	Fc1ccc(C2=C(c3ccc(OCCN4CCCC4)cc3)c3ccc(F)cc3OCC2)cc1	1	1	6.899629454882437	447.52500000000015	6.181000000000005	3	0"
"CHEMBL420017	CCc1c(-c2ccc(O)cc2)c2ccc3cccc1n32	0	1	8.022276394711152	261.32399999999996	4.465300000000003	2	1"
"CHEMBL180300	C[C@@H](COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1	1	1	8.886056647693161	463.5990000000002	5.928000000000007	6	2"
"CHEMBL3775224	CCCC(=O)Oc1ccc(/C(=C(/C)c2ccccc2)c2ccc(OCCN3CCCC3)cc2)cc1	1	1	7.5670307091255955	469.62500000000034	6.845700000000008	4	0"
"CHEMBL3827286	COc1ccc2c(c1)C(=O)c1c-2n(-c2ccc(OCCCN3CCCC3)cc2)c(=O)c2cc(OC)ccc12	2	0	4.394694953858891	510.59000000000043	5.084000000000005	7	0"
"CHEMBL3827137	CCN(CC)CCOc1ccc(-n2c3c(c4ccc(OC)cc4c2=O)C(=O)c2cc(OC)ccc2-3)cc1	0	0	4.7281583934635005	498.5790000000003	4.939900000000005	7	0"
"CHEMBL3827870	COc1ccc2c(c1)C(=O)c1c-2n(-c2ccc(OCCN(C)C)cc2)c(=O)c2cc(OC)ccc12	0	0	4.6126101736612695	470.52500000000026	4.1597000000000035	7	0"
"CHEMBL3427406	Cc1cc(F)ccc1-c1c(Oc2ccc(/C=C/C(=O)O)cc2)c2cc(F)c(O)cc2oc1=O	1	1	8.130768280269024	450.39300000000014	5.642320000000004	5	2"
"CHEMBL396947	O=C1c2ccc(O)cc2C(=O)N1c1cccc2c(O)cccc12	0	1	6.0958256317158375	305.289	3.0516000000000005	4	2"
"CHEMBL3623004	C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F	1	1	9.169989064063882	442.48100000000017	5.6280000000000046	2	2"
"CHEMBL4070169	Cc1ccc(C(=O)c2sc3cc(O)ccc3c2Oc2ccc(/C=C/C(=O)O)cc2)c(C)c1	1	1	8.346787486224656	444.5080000000002	6.344840000000006	5	2"
"CHEMBL431611	Oc1ccc2c(c1)S[C@H](C1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2	1	1	8.602059991327963	439.6210000000003	6.041500000000006	5	1"
"CHEMBL3648370	O=C1Oc2cc(O)cc(Cc3ccccc3)c2CC1c1ccc(Cl)cc1	0	1	6.920818753952375	364.828	4.881700000000003	3	1"
"CHEMBL85536	Oc1ccc2c(c1)S[C@H](Cc1ccccc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2	1	1	8.130768280269024	461.6270000000004	6.0940000000000065	5	1"
"CHEMBL83451	Oc1ccc2c(c1)S[C@H](c1ccncc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2	1	1	6.309803919971486	448.5880000000004	5.619000000000006	6	1"
"CHEMBL124482	Oc1ccc([C@H]2Sc3cc(O)ccc3S[C@H]2c2ccc(OCCN3CCCCC3)c(Br)c2)cc1	2	1	8.301029995663981	558.5630000000004	7.405400000000006	6	2"
"CHEMBL464360	Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1C2=O	1	0	4.698970004336019	432.38100000000014	-0.6396800000000002	10	6"
"CHEMBL328190	Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1	1	1	8.508638306165727	413.5610000000004	5.728700000000006	3	1"
"CHEMBL188049	C=CCc1cc(O)cc2nc(-c3ccc(O)cc3)oc12	0	1	6.138465589140963	267.284	3.634500000000001	4	2"
"CHEMBL363955	C=Cc1cc(O)cc2nc(-c3ccc(O)cc3)oc12	0	1	6.349692476868062	253.257	3.5490000000000004	4	2"
"CHEMBL182980	C[C@H]1CN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C[C@@H]1C	1	1	9.30102999566398	477.6260000000002	6.031500000000007	6	2"
"CHEMBL3657184	Cc1c(-c2ccc3c(c2)OCO3)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12	1	1	7.154901959985742	484.59600000000034	5.964020000000007	6	1"
"CHEMBL3657137	COc1ccc2c(c1)c(C)c(-c1ccc(O)cc1)n2Cc1ccc(OCCN2CCCCC2)cc1	1	1	6.455931955649724	470.61300000000045	6.243920000000007	5	1"
"CHEMBL3828117	COc1ccc2c(c1)C(=O)c1c-2n(-c2ccc(OCCCN3CCCCC3)cc2)c(=O)c2cc(OC)ccc12	2	0	4.416801226031377	524.6170000000004	5.474100000000005	7	0"
"CHEMBL144897	Oc1ccc2c(c1)C=C(c1ccccc1)C21Cc2ccccc2C1	0	1	7.619788758288393	310.3960000000001	4.983000000000004	1	1"
"CHEMBL3961676	CN(C)CCOc1ccc(/C(=C(/CCCF)c2ccccc2)c2ccc(O)cc2)cc1.Cl	1	1	7.698970004336019	456.00100000000003	6.463200000000008	3	1"
"CHEMBL3657174	COc1cc(Cn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)ccc1OCCN1CCCCC1	1	1	7.096910013008057	486.6120000000004	5.949520000000007	6	2"
"CHEMBL122237	Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(COCCN3CCCCC3)cc2)cc1	1	1	8.638272163982407	477.62600000000043	6.067400000000006	6	2"
"CHEMBL25580	O=C1c2ccccc2C(=O)C12C(c1cccc(O)c1)=Cc1cc(O)ccc12	0	1	6.436518914605589	354.36100000000005	3.969000000000002	4	2"
"CHEMBL315271	Oc1ccc2c(c1)S[C@H](CC1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2	1	1	8.522878745280337	453.6480000000003	6.431600000000007	5	1"
"CHEMBL92027	Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCOCC3)cc2)c1	0	1	8.42021640338319	465.57100000000037	4.775900000000005	7	2"
"CHEMBL3360846	O=C1[C@@H](c2ccc3ccccc3c2)[C@H](c2ccc(O)cc2)N1c1ccc(O)cc1	1	1	6.823908740944319	381.4310000000001	5.1227000000000045	3	2"
"CHEMBL3360850	COc1ccc([C@H]2[C@H](C(O)c3ccc(O)cc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1	0	1	8.096910013008056	465.5020000000003	3.8643000000000027	7	2"
"CHEMBL216596	CCCCCCCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O	1	1	6.406713932979543	370.4450000000001	5.022800000000006	5	3"
"CHEMBL9352	O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21	0	0	4.123193488906485	272.25600000000003	2.5099000000000014	5	3"
"CHEMBL219577	CC(C)Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O	0	1	7.096910013008057	328.3640000000001	3.708400000000002	5	3"
"CHEMBL460647	CC(C)=CCc1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2=O	0	1	7.244125144327507	340.37500000000006	4.018600000000003	5	3"
"CHEMBL93586	O=C(/C=C/c1ccc(N2CCc3cc(O)ccc3C2c2ccccc2)cc1)N1CCOCC1	0	1	8.229147988357855	440.54300000000023	4.416300000000004	4	1"
"CHEMBL3657138	COc1ccc(-c2c(C)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCCC3)cc2)cc1	1	1	6.522878745280337	470.61300000000034	6.243920000000006	5	1"
"CHEMBL89995	Oc1ccc2c(c1)CCN(c1ccccc1)C2CC1CCCCC1	1	1	7.274905478918531	321.4640000000002	5.466400000000005	2	1"
"CHEMBL3657148	CCCCN(C)CCOc1ccc(Cn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)cc1	1	1	7.552841968657781	458.60200000000015	6.186920000000009	5	2"
"CHEMBL3657152	Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCC(C)(C)C3)cc2)c2ccc(O)cc12	1	1	6.823908740944319	484.64000000000027	6.577020000000006	5	2"
"CHEMBL3657160	Cc1c(-c2cccc(O)c2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12	1	1	7.721246399047171	456.58600000000024	5.9409200000000055	5	2"
"CHEMBL3657167	Oc1ccc(-c2c(Cl)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCCC3)cc2)cc1	1	1	7.619788758288393	477.0040000000004	6.285900000000006	5	2"
"CHEMBL3657169	Cc1cc(O)ccc1-c1c(Cl)c2cc(O)ccc2n1Cc1ccc(OCCN2CCCCC2)cc1	1	1	7.886056647693162	491.03100000000046	6.594320000000007	5	2"
"CHEMBL3657175	COc1cc(Cn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)ccc1OCCN1CCCCCC1	2	1	7.244125144327507	500.63900000000046	6.339620000000007	6	2"
"CHEMBL4548012	CC1=C(c2ccc(F)cc2)[C@@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2ccc(O)cc21	1	1	7.823908740944319	463.5240000000002	5.875800000000006	4	1"
"CHEMBL482116	Cc1ccc(C(=O)N/N=C/c2ccc([N+](=O)[O-])s2)cc1	0	0	4.674843044498068	289.31600000000003	2.7286200000000003	5	1"
"CHEMBL3657136	Cc1c(-c2ccccc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12	1	1	7.522878745280337	440.5870000000002	6.235320000000006	4	1"
"CHEMBL3657178	CCN(CC)CCOc1ccc(Cn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)cc1	1	1	7.397940008672037	444.57500000000016	5.796820000000007	5	2"
"CHEMBL3657182	Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CC4(C)CC3C(C)(C)C4)cc2)c2ccc(O)cc12	2	1	6.823908740944319	510.6780000000003	6.965520000000007	5	2"
"CHEMBL3657149	Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCC3C)cc2)c2ccc(O)cc12	1	1	7.698970004336019	470.6130000000002	6.329420000000006	5	2"
"CHEMBL3657173	Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCCN3CCCCC3)cc2)c2ccc(O)cc12	1	1	7.00436480540245	470.6130000000003	6.331020000000007	5	2"
"CHEMBL192539	CCC1=N[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@H](c2ccc(O)cc2)N1	0	1	7.420216403383191	393.53099999999995	4.451000000000004	5	2"
"CHEMBL181368	C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OCCN3CCCCCC3)cc2)[C@H]1c1ccc(O)cc1	1	1	9.522878745280336	491.60300000000035	6.512700000000007	5	2"
"CHEMBL359671	C[C@H]1CCN([C@@H](C)COc2ccc([C@@H]3Oc4ccc(O)c(F)c4[C@@H](C)[C@@H]3c3ccc(O)cc3)cc2)C1	1	1	8.602059991327963	491.60300000000024	6.367000000000008	5	2"
"CHEMBL381337	Cc1c(O)ccc2c1OC(C)c1c-2ccc(O)c1C	0	1	6.4749551929631535	256.301	3.835040000000002	3	2"
"CHEMBL203348	Cc1c(O)c(Cl)c(C)c2c1c(=O)oc1c(Cl)c(O)ccc12	0	1	6.22402566887063	325.147	4.281040000000003	4	2"
"CHEMBL204272	O=c1oc2c(Cl)c(O)ccc2c2cc(F)c(O)c(Cl)c12	0	0	4.935542010773082	315.083	3.8033000000000006	4	2"
"CHEMBL382873	O=S(=O)(c1ccc(O)cc1)N(c1ccccc1)C1CCCCC1	0	1	6.062482107982652	331.43700000000024	3.920200000000003	3	1"
"CHEMBL203061	O=S(=O)(c1ccc(O)cc1)N(c1ccccc1)c1ccccc1	0	1	6.3872161432802645	325.38900000000007	3.9192000000000027	3	1"
"CHEMBL202155	CCCN(c1ccccc1Br)S(=O)(=O)c1ccc(O)c(C)c1	0	1	7.397940008672037	384.29500000000013	4.068420000000003	3	1"
"CHEMBL202624	CCCN(c1ccccc1Br)S(=O)(=O)c1ccc(O)cc1	0	1	7.585026652029183	370.2680000000001	3.7600000000000033	3	1"
"CHEMBL264655	CCCN(c1ccccc1Cl)S(=O)(=O)c1ccc(O)cc1	0	1	7.376750709602098	325.817	3.650900000000002	3	1"
"CHEMBL381976	CCCN(c1ccccc1C)S(=O)(=O)c1ccc(O)c(C)c1	0	1	6.962573502059376	319.42600000000004	3.614340000000003	3	1"
"CHEMBL394788	O=C1c2ccc(O)cc2C(=O)N1c1ccc(O)cc1[N+](=O)[O-]	0	1	7.67778070526608	300.226	1.8066	6	2"
"CHEMBL184371	Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CC4CC5CC(C4)CC3C5)cc2)cc1	2	1	9.221848749616356	529.7020000000005	6.954200000000007	6	2"
"CHEMBL437190	Cc1c([C@H](C)NC(=O)Cc2c(-c3ccccc3)[nH]c3ccccc23)n(Cc2ccc(OCCN3CC[C@H](C)C3)cc2)c2ccc(O)cc12	2	1	8.397940008672037	640.8280000000003	7.992420000000007	5	3"
"CHEMBL241256	C[C@H](CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)[nH]c2ccc(OCCCCCN3CCCCC3)cc12	2	1	8.180456064458129	567.7740000000001	7.255500000000008	4	3"
"CHEMBL4278346	Oc1ccc(-c2cc(-c3ccc(OCCN4CCCC4)cc3)c(-c3ccc(O)cc3)[se]2)cc1	None	1	6.011441043121384	504.48800000000006	5.630400000000006	4	2"
"CHEMBL182237	Cc1cc(C)nc(N2CCN(c3ccc(C(=O)c4c(-c5ccc(O)cc5)sc5cc(O)ccc45)cc3)CC2)n1	2	1	8.67366413907125	536.6570000000002	5.943940000000007	8	2"
"CHEMBL189658	N#Cc1cc(O)cc2nc(-c3ccc(O)cc3F)oc12	0	1	6.860120913598763	270.219	2.9167799999999993	5	2"
"CHEMBL183333	Oc1ccc2c(c1)CS[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1	1	1	9.221848749616356	431.60100000000034	5.986800000000007	4	1"
"CHEMBL304552	Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1	1	1	9.096910013008056	463.5990000000004	5.929600000000006	6	2"
"CHEMBL196131	Oc1ccc2c(c1)sc1c3cc(O)ccc3n(Cc3ccc(OCCN4CCCCC4)cc3)c21	1	1	8.546681659952963	472.6100000000004	6.333400000000006	6	2"
"CHEMBL181944	C[C@@H](CN1CCCC1)Oc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1	1	1	8.602059991327963	463.59900000000016	5.928000000000007	6	2"
"CHEMBL437695	C[C@@H]1CCN(CCOc2ccc([C@@H]3c4ccc(O)cc4CC[C@@H]3c3ccccc3)cc2)C1	1	1	9.30102999566398	427.58800000000025	5.9747000000000074	3	1"
"CHEMBL191901	Oc1ccc(-c2cc(F)c3c(Cl)c(O)ccc3c2)cc1F	0	1	6.903089986991943	306.695	4.849600000000003	2	2"
"CHEMBL371624	N#Cc1cc(-c2ccc(O)cc2)cc2ccc(O)cc12	0	1	6.978810700930063	261.28000000000003	3.7896800000000006	3	2"
"CHEMBL192154	N#Cc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)cc12	0	1	6.6777807052660805	279.27	3.9287800000000015	3	2"
"CHEMBL365941	O=Cc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)cc12	0	1	6.636388020107856	282.27	3.869600000000001	3	2"
"CHEMBL192016	C#Cc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)cc12	0	1	6.607303046740334	278.282	4.038400000000001	2	2"
"CHEMBL192390	N#Cc1cc(O)c(Cl)c2ccc(-c3ccc(O)c(F)c3)cc12	0	1	7.259637310505756	313.71500000000003	4.582180000000003	3	2"
"CHEMBL192901	O=Cc1cc(O)cc2ccc(-c3ccc(O)c(F)c3)cc12	0	1	7.136677139879544	282.27	3.869600000000001	3	2"
"CHEMBL191808	Oc1ccc(-c2ccc3c(Cl)c(O)ccc3c2)cc1F	0	1	6.844663962534938	288.705	4.710500000000002	2	2"
